date,time pandemic,bakuna,pandemic essay,bureau quarantine,home quarantine,quarantine status,quarantine hotel,quarantine meaning,ofw quarantine,quarantine tagalog,quarantine certificate,new_cases
2021-09-01,30,50,18,46,14,27,0,9,9,0,9,14056
2021-09-02,26,51,14,33,0,33,13,8,11,0,0,16397
2021-09-03,25,44,18,44,10,29,0,0,0,0,11,20060
2021-09-04,26,34,19,37,0,29,16,0,0,0,12,12829
2021-09-04,26,34,19,37,0,29,16,0,0,0,12,7687
2021-09-05,33,34,0,33,0,49,13,0,0,0,0,19789
2021-09-06,27,45,18,39,9,84,16,22,0,0,0,22191
2021-09-07,29,38,23,36,13,79,13,12,0,0,0,17788
2021-09-08,33,40,24,40,0,41,11,0,0,0,0,17695
2021-09-09,41,47,31,28,13,17,14,0,0,0,13,22525
2021-09-10,33,39,23,44,10,17,17,0,12,0,0,17730
2021-09-11,32,24,16,23,0,15,11,0,0,0,0,25876
2021-09-12,37,28,28,26,12,24,11,0,0,0,0,21121
2021-09-13,63,34,25,33,15,25,10,18,0,13,9,20480
2021-09-14,71,40,31,29,15,35,10,13,0,16,9,17815
2021-09-15,77,45,48,28,16,27,10,17,0,15,0,16752
2021-09-16,69,42,49,27,14,32,12,18,0,12,9,20961
2021-09-17,79,50,47,36,14,30,8,18,0,12,11,20067
2021-09-18,64,38,40,27,15,25,0,20,0,15,0,22787
2021-09-19,87,26,44,19,12,15,0,0,0,12,0,19005
2021-09-20,85,38,47,26,21,16,0,8,8,12,8,18694
2021-09-21,87,44,46,27,20,15,11,16,0,15,0,16146
2021-09-22,96,51,48,36,14,10,0,14,0,17,9,15346
2021-09-23,100,44,55,29,20,11,8,19,0,0,8,17187
2021-09-24,94,71,51,32,13,8,12,20,0,12,11,18336
2021-09-25,84,52,45,19,0,9,13,9,0,0,0,10266
2021-09-26,99,46,58,16,15,18,0,0,0,0,0,20424
2021-09-27,69,41,44,31,19,12,9,9,0,10,0,18269
2021-09-28,85,46,48,29,14,20,11,9,0,10,9,13646
2021-09-29,89,46,42,34,14,26,8,15,0,10,0,12611
2021-09-30,92,47,59,36,20,79,10,0,8,0,0,14061
2021-10-01,87,42,48,22,0,45,10,10,0,0,8,15333
2021-10-02,70,36,43,21,0,16,10,11,10,0,0,14561
2021-10-03,76,31,45,14,15,18,14,14,0,0,0,13066
2021-10-04,78,34,44,33,18,14,11,0,0,0,0,10623
2021-10-05,87,50,49,37,15,12,12,12,8,9,7,8941
2021-10-06,95,48,55,24,17,13,12,11,0,9,0,9746
2021-10-07,100,46,53,27,19,14,8,8,0,8,0,9866
2021-10-08,84,44,55,38,15,18,0,13,13,9,9,10487
2021-10-09,81,33,52,31,13,13,18,0,9,9,9,10842
2021-10-10,91,35,50,17,14,13,12,0,10,0,0,11955
2021-10-11,84,30,46,50,14,14,13,13,0,7,11,8165
2021-10-12,96,54,46,31,21,8,8,0,0,10,0,8420
2021-10-13,85,72,41,41,17,18,0,11,14,0,10,7055
2021-10-14,90,67,59,52,16,24,8,13,12,10,0,7702
2021-10-15,85,39,44,36,16,15,11,11,0,11,8,7485
2021-10-16,75,31,43,26,13,18,0,0,0,0,0,7657
2021-10-17,85,39,49,21,18,21,0,12,13,0,0,6816
2021-10-18,85,43,54,36,12,10,8,0,0,0,10,6814
2021-10-19,83,43,48,38,19,19,12,9,0,7,8,4424
2021-10-20,90,44,53,28,22,15,10,12,0,0,0,3575
2021-10-21,91,43,52,43,15,12,10,8,8,0,0,4734
2021-10-22,83,44,41,38,12,0,8,8,12,0,0,5741
2021-10-23,76,38,44,25,11,12,0,0,0,9,0,5733
2021-10-24,91,29,35,26,14,0,9,0,0,0,0,5200
2021-10-25,95,48,58,40,8,13,13,0,0,0,0,4348
2021-10-26,87,45,47,43,16,8,8,0,0,0,8,4337
2021-10-27,87,45,44,32,15,9,8,8,8,0,0,3157
2021-10-28,93,53,49,33,18,0,13,13,0,10,0,7031
2021-10-29,88,57,35,39,12,12,9,8,10,0,0,3982
2021-10-30,72,33,34,16,10,0,0,0,10,16,0,3943
2021-10-31,69,28,38,19,0,0,0,0,0,0,0,3369
2021-11-01,60,33,28,20,11,17,12,0,0,0,0,3070
2021-11-02,85,60,41,34,15,9,13,11,9,0,0,2273
2021-11-03,87,61,38,43,15,11,8,12,13,0,9,1566
2021-11-04,79,52,43,40,18,8,8,11,13,0,7,1730
2021-11-05,74,56,32,46,13,16,8,8,0,0,11,2342
2021-11-06,65,45,35,32,15,0,17,10,0,0,0,2608
2021-11-07,87,39,47,31,16,0,13,0,0,0,11,2564
2021-11-08,62,50,44,43,16,0,0,13,0,9,0,2053
2021-11-09,70,55,39,41,11,8,13,12,10,12,0,1407
2021-11-10,72,59,46,36,10,0,9,10,10,0,0,2606
2021-11-11,77,49,49,36,10,0,8,12,0,0,9,1940
2021-11-12,55,51,42,39,8,9,8,8,8,0,0,1866
2021-11-13,56,37,41,20,9,0,0,0,13,0,0,1968
2021-11-14,66,77,35,22,14,0,0,9,0,0,0,1902
2021-11-15,57,50,36,46,10,0,10,11,11,0,0,1527
2021-11-16,55,53,34,35,0,0,7,12,0,0,0,832
2021-11-17,70,55,49,56,9,0,8,9,15,0,11,1168
2021-11-18,73,50,40,46,0,8,8,8,11,0,0,1281
2021-11-19,65,55,43,46,9,0,11,10,13,0,9,1451
2021-11-20,50,42,23,21,0,0,0,0,16,0,0,1454
2021-11-21,62,33,36,27,16,0,13,0,10,0,0,2198
2021-11-22,60,46,41,35,12,0,13,8,0,0,0,974
2021-11-23,64,45,43,38,8,0,15,0,0,0,8,1127
2021-11-24,80,50,41,38,0,0,8,0,0,0,0,869
2021-11-25,69,53,45,34,0,0,9,9,8,0,0,961
2021-11-26,57,46,31,27,0,0,0,8,9,0,0,853
2021-11-27,44,44,35,18,0,0,0,0,0,0,0,888
2021-11-28,60,61,39,27,12,0,0,0,12,0,0,831
2021-11-29,68,72,34,41,11,8,0,8,13,12,0,655
2021-11-30,63,77,39,26,0,0,18,0,0,0,10,420
2021-12-01,72,47,41,42,9,0,0,9,0,0,0,490
2021-12-02,81,62,48,31,11,8,8,0,10,8,0,554
2021-12-03,59,47,42,35,11,0,10,0,13,9,0,537
2021-12-04,62,29,34,27,11,0,0,0,10,0,0,507
2021-12-05,74,30,36,20,16,0,13,0,15,0,0,598
2021-12-06,78,38,35,32,11,0,8,8,0,0,0,538
2021-12-07,61,31,43,34,0,0,13,0,9,0,0,343
2021-12-08,82,30,53,25,0,0,0,0,0,0,0,362
2021-12-09,87,40,50,30,8,0,13,8,10,0,0,555
2021-12-10,65,44,44,28,0,0,12,0,0,0,0,370
2021-12-11,59,41,35,16,0,0,13,0,11,0,0,353
2021-12-12,72,30,48,17,0,0,9,0,0,10,0,400
2021-12-13,61,47,39,26,9,0,13,9,11,0,0,355
2021-12-14,58,32,44,26,11,0,0,0,12,0,0,233
2021-12-15,56,42,43,28,0,0,12,0,13,0,0,228
2021-12-16,44,35,27,37,0,0,15,0,0,0,0,282
2021-12-17,41,23,30,30,0,0,13,0,0,0,11,570
2021-12-18,29,22,17,21,0,0,13,0,0,0,0,285
2021-12-19,35,26,16,17,0,0,0,0,15,0,0,200
2021-12-20,23,31,19,33,0,0,0,0,0,0,0,260
2021-12-21,24,34,20,38,0,0,19,0,0,0,0,166
2021-12-22,19,37,0,25,0,0,0,0,0,0,0,254
2021-12-23,12,25,12,22,0,0,11,0,13,0,0,282
2021-12-24,0,17,0,13,0,0,0,0,0,0,0,299
2021-12-25,0,0,0,0,0,0,0,16,0,0,0,424
2021-12-26,13,23,0,13,0,0,0,0,0,0,0,428
2021-12-27,0,28,12,30,0,0,0,0,0,0,0,315
2021-12-28,15,31,11,33,0,0,0,0,0,0,0,402
2021-12-29,20,30,11,34,0,0,12,0,0,0,0,871
2021-12-30,0,21,0,17,0,0,36,0,0,0,0,1591
2021-12-31,13,0,0,0,13,13,23,0,0,0,0,2908
2022-01-01,17,12,15,19,0,0,12,0,0,0,0,3561
2022-01-02,40,25,21,18,0,11,13,0,11,0,0,4532
2022-01-03,45,45,30,42,13,0,18,14,12,0,0,4002
2022-01-04,35,53,26,22,18,14,27,0,0,0,0,5330
2022-01-05,42,60,29,36,12,0,23,17,20,8,8,10554
2022-01-06,49,71,30,27,15,0,19,24,0,14,9,16883
2022-01-07,39,60,28,34,19,0,21,18,8,10,0,21321
2022-01-08,35,50,31,21,19,0,13,13,8,0,0,25951
2022-01-09,58,50,30,18,16,13,18,0,0,0,12,28183
2022-01-10,44,58,30,35,21,0,16,11,0,8,0,32601
2022-01-11,52,56,36,33,17,8,10,12,0,0,0,27514
2022-01-12,49,61,34,31,15,9,12,14,8,0,0,31556
2022-01-13,54,63,37,33,17,0,16,9,0,0,0,4305